productid,prodname,hierarchylevel,prodhierarchypath
94078230,(PR GM) Go Math_Juli Dixon_2011,,/54606149010/1880257831/2393411107/1713680272/
222841320,Rough Cut - Needs Music,,/54606149010/1880257831/2340983855/2340986681/221404434/2375195023/221405462/
258343740,"Health, Nutrition & PE",,/48310390151/3020691393/240368115/240368461/258330162/
258366960,Sensational Seasons,,/48310390151/3020691393/240368115/240368461/258330162/
258367200,Phonics Plus,,/48310390151/3020691393/240368115/240368461/258330162/
258367230,Maps_Read Understand Apply,,/48310390151/3020691393/240368115/240368461/258330162/
258367290,Multiple Intelligences,,/48310390151/3020691393/240368115/240368461/258330162/
258525060,Holt Science & Technology,,/48310390151/3020691393/240368115/240368461/258512568/258525038/
258525150,Middle School Social Studies,,/48310390151/3020691393/240368115/240368461/258512568/258525084/
258525240,Saxon Teacher,,/48310390151/3020691393/240368115/240368461/258512568/258525156/258525190/
783163410,Dustin,,/54606149010/1880257831/2341215221/1307289725/2374664555/782100324/782100724/
885519810,Foreign Language,,/48310390151/3020691393/2996512465/885473384/
10000,prod_default,,/prod_default
3895502561,Links,,/3891839283/3895224335/3895254787/3895289739/
3895511021,Fonts,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895185525/3895185569/3895185609/3895257289/
3895515341,Links,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895185525/3895185569/3895185609/3895257709/
3895521131,Fonts,,/3891839283/3895505887/3895508093/
3895531001,9-12_SNLAESE491127_EM_R071_R098,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895184255/3895184471/3895185737/3895258439/
3895536791,CH 33,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895184255/3895184471/3895185737/3895258637/
3895539551,9-12_SNLAESE491127_C06MMC,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895184255/3895184471/3895185737/3895259031/
3895540511,9-12_SNLAESE491127_C16MMC,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895184255/3895184471/3895185737/3895259031/
3895544111,Fonts,,/3891839283/3895523027/3895529191/
3895547831,ITC Franklin Gothic Std,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895184255/3895184683/3895262923/3895262951/
3895549721,MMC_Fonts,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895184255/3895184683/3895262923/3895262951/
3895552451,Links,,/25175019471/3605775965/3894680687/3895454297/3895459783/3895491093/
3895573001,Fonts,,/3183743691/3632677873/3895033877/3895039489/3895040537/3895065221/
3895591301,CH 02,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895184255/3895184903/3895186555/3895264189/
3895656341,CH 08,,/2325384933/2325387127/3259099594/3853878277/3895184033/3895184111/3895184255/3895184903/3895186555/3895264189/
3895667231,K_008714_BBS1_3-2Snow,,/3183743691/3632677873/3895033877/3895039489/3895040795/3895068629/
3895727111,Fonts,,/3183743691/3632677873/3895033877/3895039489/3895040795/3895069533/
3895769291,141006,,/25175019471/3605775965/3894680687/3895454297/3895459783/3895489957/3895548951/
3895808111,Training Reports,,/3895802717/
3895844591,images,,/25175019471/3605775965/3894680687/3895454297/3895459783/3895490219/3895550197/3895771117/
3895845221,Cover PDFs,,/3891839283/3895843465/3895844279/3895844397/3895844773/
3895846361,Links,,/3891839283/3895843465/3895844279/3895844397/3895844773/3895845139/
3895857851,Links,,/25175019471/3605775965/3894680687/3895454297/3895459783/3895489957/3895548639/3895768457/3895843197/
3895879511,PDF,,/25175019471/3605775965/3894680687/3895871037/3895874323/3895876475/
3895880231,PDF,,/25175019471/3605775965/3894680687/3895871037/3895874597/3895876717/
3895887641,SS_LA Reentry_Problem Solving Folder,,/25175019471/3605775965/3894680687/3895871037/3895874323/3895876475/3895878909/3895887109/
3895888961,Targeted Campaigns 2015,,/11564399205/6820885490/
3895893551,Fonts,,/3183743691/3632677873/3895033877/3895039489/3895041087/3895077683/
3895914371,Fonts,,/3183743691/3632677873/3895033877/3895039489/3895041087/3895078205/
3895918931,Links,,/25175019471/3605775965/3894680687/3895894769/3895908793/3895914749/
3895941941,Kristi,,/3891839283/
3895943621,Cover Application Files,,/25175019471/3605775965/3894680687/3895894769/3895908793/3895914539/3895918529/3895940173/3895941729/
3895948721,PSD Files,,/25175019471/3605775965/3894680687/3895894769/3895908793/3895914539/3895918529/3895939987/3895941485/3895943237/
3896013101,Hein,,/3891839283/3895969787/3896009415/3896009447/
3896013161,acme,,/3891839283/3895969787/3896009415/3896009447/
3896013491,HM_acme,,/3891839283/3895969787/3896009415/3896009447/
3896018591,SV,,/3891839283/3895969787/3896009415/3896009447/3896013023/
3896019191,eps,,/3891839283/3895969787/3896009415/3896009447/3896013161/
3896038031,CA Learning Site 3_06,,/3891839283/3895969787/3896007643/3896012173/3896029147/3896029167/
3896055761,Links,,/3183743691/3632677873/3895033877/3895039489/3895041417/3895088835/
3896074961,Links,,/3183743691/3632677873/3895033877/3895039489/3895041501/3895090623/
3896114141,Brand Identity Guide Transition,,/3891839283/3896040197/
3896116211,Document fonts,,/3891839283/3896040197/
3896129381,From Rachel,,/3891839283/3896040197/
3896140391,Fonts,,/3183743691/3632677873/3895033877/3895039489/3895041663/3895097317/
3896173031,Links,,/3891839283/3896040197/3896112687/
3896187911,43125_GM_AL_LuggageTags_GK Folder,,/3891839283/3896040197/3896113507/
3896189561,Document fonts,,/3891839283/3896040197/3896113969/
3896232101,02_44237_SENCCOverview_MIMEO,,/3891839283/3896040197/3896129799/
3896239331,MS59420_JOU14_RoadMap_1-6_IN_FF,,/3891839283/3896040197/3896129799/
3896254121,48200 Journeys 2014 Common Core Instruction Tab GK,,/3891839283/3896040197/3896159207/
3896255321,MS48200_JOU14_FL_CCInstruction_Tab_K Folder,,/3891839283/3896040197/3896159207/
3896291261,acme trade books,,/3891839283/3896040197/3896168215/3896290711/
3896322041,Links,,/3891839283/3896040197/3896117635/3896228077/
885519120,Grade 4,,/48310390151/3020691393/2996512465/885473384/885519106/885519116/
885521730,Middle School Social Studies,,/48310390151/3020691393/2996512465/885473384/885521724/
885522330,Math_Upper Grades,,/48310390151/3020691393/2996512465/885473384/885522318/885522320/
1026699510,Social Studies,,/1026698674/
1083686640,Lesson 14,,/48310390151/816037013/961417849/961420053/
1086124020,Engagement Echat Segments,,/54606149010/1880257831/2340983855/2340993695/
1265919120,9781418919795_Turquoise Level Package,,/48310390151/3020691393/240368115/240368461/240368733/249622981/
1265930670,9781418918682_Silver Level Package,,/48310390151/3020691393/240368115/240368461/240368733/249622981/
1265975850,9781418917319_Purple Level Package,,/1265726638/1266180852/
1266177210,9780757832628_Complete J-M Package,,/1265726638/1266179392/
1266186510,Common Core Writing,,/1265726638/
1268862360,Rough Low res,,/54606149010/1880257831/2393281501/1268859784/2393294267/1268861292/
1335127320,New Voice-Over Options,,/54606149010/1880257831/2341215221/1265822360/2379637367/
1371267510,acme Logo Animation,,/54606149010/1880257831/2341215221/1880218157/
1429631310,Lesson 86,,/48310390151/816037013/961417849/961420053/
1664441130,Head Shots,,/54606149010/1880270043/37955788/1664440330/
2131575420,Sue's Test Folder,,/2131394450/
2133525720,Grade_6_desktop,,/2129404970/2133158050/
2136840030,Core Skills Reading Comprehension 2014,,/48310390151/3020691393/2996512465/990994545/530033934/
2154516788,Grade_6_desktop-reupload (Jonathan.Heller@acmeco.com),,/2154486822/
2706787328,_foul,,/2325384933/2325387127/3259055194/2346851795/3323428386/2689348077/
2708354048,Strategy Presentations,,/30050461370/2708264826/
2708375468,Former Strategic Plan,,/30050461370/2708264826/2708354048/
2708378138,Metrics,,/30050461370/2708264826/2708377452/
2709476408,Module 15,,/2325384933/2325387127/3259152390/3259153468/3259157942/2434695435/3261944784/3261947068/2434733145/
2712424298,HMPHelveticaText,,/2675022527/2712342788/2712390790/2712390832/2712391054/2712399206/2712399544/
