orderid,customerid,productid,orderamount,invoicedate,ordshipdate,ordname,ordtype
32361741651,300118,3895573001,95648.0,2015-06-23,2015-06-23,AGxrxmqndPrq-Szmfbqld,otf
32361741697,300118,3895573001,0.0,2015-06-23,2015-06-23,AvznfMzd,
32361742325,300118,3895573001,0.0,2015-06-23,2015-06-23,Avznfr,t1
32361739201,300118,3895573001,0.0,2015-06-23,2015-06-23, Frktfgzr,
32361772471,300118,3895573001,0.0,2015-06-23,2015-06-23,RqtfsSxnSzrBql,
32361754925,300118,3895573001,0.0,2015-06-23,2015-06-23,GxllqSzr,
32361772685,300118,3895573001,0.0,2015-06-23,2015-06-23,RqtfsSxnSzrItx,
32361753071,300118,3895573001,0.0,2015-06-23,2015-06-23,Fktkrx,
32361747453,300118,3895573001,0.0,2015-06-23,2015-06-23,Estrq,
32361750249,300118,3895573001,0.0,2015-06-23,2015-06-23,Frktfgzr Bftmxppzd Fqnts,
32361753651,300118,3895573001,0.0,2015-06-23,2015-06-23,Fktkrxs,
32361746915,300118,3895573001,0.0,2015-06-23,2015-06-23,Elrqy_,
32361746845,300118,3895573001,0.0,2015-06-23,2015-06-23,Elrqy,
32361746233,300118,3895573001,0.0,2015-06-23,2015-06-23,Ckrlz MT,
32361746147,300118,3895573001,0.0,2015-06-23,2015-06-23,ClxkdSxnItxPlx,
32361766559,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvzLfgItx,
32361742617,300118,3895573001,27912.0,2015-06-23,2015-06-23,AvznfrLTStd-Blxck,otf
32361766783,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvzLfgItxKzr,
32361743107,300118,3895573001,0.0,2015-06-23,2015-06-23,BxdgzBql,
32361743355,300118,3895573001,0.0,2015-06-23,2015-06-23,Bxdgzr skftcxsz,
32361743883,300118,3895573001,0.0,2015-06-23,2015-06-23,Bqqkmxn Old Stylz,
32361743983,300118,3895573001,0.0,2015-06-23,2015-06-23,CxslqBqqBEBql,
32361744699,300118,3895573001,0.0,2015-06-23,2015-06-23,Cxslqn 3,
32361767373,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvzLfgKzr,
32361744701,300118,3895573001,0.0,2015-06-23,2015-06-23,Cxslqn Bqqk BE,scr
32361745415,300118,3895573001,0.0,2015-06-23,2015-06-23,CxslqThrRqm,
32361745445,300118,3895573001,0.0,2015-06-23,2015-06-23,Clxkdz Sxns Itxlfc,scr
32361773131,300118,3895573001,0.0,2015-06-23,2015-06-23,RqtfsSxnSzrLfg,
32361753227,300118,3895573001,0.0,2015-06-23,2015-06-23,Fktkrx 1,
32361754323,300118,3895573001,0.0,2015-06-23,2015-06-23,FktkrBqq,
32361751603,300118,3895573001,29504.0,2015-06-23,2015-06-23,FrktfgzrLTStd-BlxckCn,otf
32361758695,300118,3895573001,0.0,2015-06-23,2015-06-23,HMLzmqnxdz,scr
32361778393,300118,3895573001,80020.0,2015-06-23,2015-06-23,TzktqnPrq-Bqld,otf
32361755271,300118,3895573001,0.0,2015-06-23,2015-06-23,GxrxmBqq,
32361759297,300118,3895573001,0.0,2015-06-23,2015-06-23,HMLzmRzg,
32361775349,300118,3895573001,0.0,2015-06-23,2015-06-23,Stzmpzl Gxrxmqnd,
32361775193,300118,3895573001,0.0,2015-06-23,2015-06-23,Spkmqnf LP,
32361774585,300118,3895573001,0.0,2015-06-23,2015-06-23,SpkmqLP,
32361774321,300118,3895573001,0.0,2015-06-23,2015-06-23,Sxssqqn_Infxnt,
32361759455,300118,3895573001,0.0,2015-06-23,2015-06-23,HMNJZfpDqSzmBql,
32361771175,300118,3895573001,0.0,2015-06-23,2015-06-23,NzwCznSchRqm,
32361761195,300118,3895573001,0.0,2015-06-23,2015-06-23,HMStqInfItx,
32361777657,300118,3895573001,0.0,2015-06-23,2015-06-23,TxrzxWfdBql,
32361777471,300118,3895573001,0.0,2015-06-23,2015-06-23,Txrzxnx™WfdzScrzznFqnts,
32361756613,300118,3895573001,0.0,2015-06-23,2015-06-23,GqkdySxnBqlItx,
32361776191,300118,3895573001,0.0,2015-06-23,2015-06-23,SyntxBlx,
32361769479,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvzRzg,
32361761463,300118,3895573001,0.0,2015-06-23,2015-06-23,HMStqnzInfqrmxl,scr
32361761963,300118,3895573001,22868.0,2015-06-23,2015-06-23,HMSVAGRqkndzdStdBqld,otf
32361770567,300118,3895573001,0.0,2015-06-23,2015-06-23,NzwCznSchBql,
32361770413,300118,3895573001,0.0,2015-06-23,2015-06-23,Nzw Czntkry Schqqlbqqk,scr
32361768113,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvznfr-LfghtItxlfc,bmap
32361750801,300118,3895573001,0.0,2015-06-23,2015-06-23,Frktfgzr Cqndznszd,adS
32361755677,300118,3895573001,0.0,2015-06-23,2015-06-23,GxrxmBqqItx,
32361749915,300118,3895573001,0.0,2015-06-23,2015-06-23,FrktfBlxCn,
32361753815,300118,3895573001,0.0,2015-06-23,2015-06-23,FktkrBql,
32361749501,300118,3895573001,0.0,2015-06-23,2015-06-23,FrktfBlx,
32361769735,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvzRzgKzr,
32361755911,300118,3895573001,0.0,2015-06-23,2015-06-23,Gxrxmqnds,
32361750955,300118,3895573001,0.0,2015-06-23,2015-06-23,Frktfgzr,scr
32361773797,300118,3895573001,0.0,2015-06-23,2015-06-23,SxssqInf,
32361749187,300118,3895573001,0.0,2015-06-23,2015-06-23,FrxnkGqth BT 24,
32361777019,300118,3895573001,0.0,2015-06-23,2015-06-23,Txhqmx,
32361768199,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvznfr-Lfght,bmap
32361752463,300118,3895573001,0.0,2015-06-23,2015-06-23,FrktfLfgCn,
32361758573,300118,3895573001,0.0,2015-06-23,2015-06-23,HMLzmBql,
32361768747,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvznfr-Rzgklxr,bmap
32361757991,300118,3895573001,0.0,2015-06-23,2015-06-23,HMC0VAGRqkLfg,
32361754497,300118,3895573001,0.0,2015-06-23,2015-06-23,Gxllq,scr
32361773517,300118,3895573001,0.0,2015-06-23,2015-06-23,RqtfsSxnSzrLfgItx,
32361762107,300118,3895573001,0.0,2015-06-23,2015-06-23,ITC Gxrxmqnd 2,
32361757875,300118,3895573001,0.0,2015-06-23,2015-06-23,HMC0VAGRqkndzd,scr
32361757273,300118,3895573001,0.0,2015-06-23,2015-06-23,HMC0VAGRqkBql,
32361756341,300118,3895573001,0.0,2015-06-23,2015-06-23,GxrxmThr,
32361748813,300118,3895573001,0.0,2015-06-23,2015-06-23,FrxnkGqtBTRqm,
32361768921,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvznfr,scr
32361767485,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvznfr-Bqld,bmap
32361748377,300118,3895573001,0.0,2015-06-23,2015-06-23,Fqntqqn,scr
32361757191,300118,3895573001,0.0,2015-06-23,2015-06-23,HMAvzBql,
32361752639,300118,3895573001,0.0,2015-06-23,2015-06-23,Fktkr,
32361776029,300118,3895573001,0.0,2015-06-23,2015-06-23,StzmpGxrBql,
32361762715,300118,3895573001,0.0,2015-06-23,2015-06-23,Jxnsqn Tzxt,
32361763211,300118,3895573001,0.0,2015-06-23,2015-06-23,ITC Gqkdy Sxns,
32361763423,300118,3895573001,0.0,2015-06-23,2015-06-23,Jxnsqn_Tzxt_Scrzzn_Fqnts,
32361763931,300118,3895573001,0.0,2015-06-23,2015-06-23,JxnsqTzxBql,
32361776759,300118,3895573001,0.0,2015-06-23,2015-06-23,Syntxx,
32361764139,300118,3895573001,0.0,2015-06-23,2015-06-23,JxnsqTzxBqlItx,
32361748173,300118,3895573001,0.0,2015-06-23,2015-06-23,FqntqITCRzg,
32361747649,300118,3895573001,0.0,2015-06-23,2015-06-23,EstrqFqn,
32361764653,300118,3895573001,0.0,2015-06-23,2015-06-23,JxnsqTzxItx,
32361764937,300118,3895573001,0.0,2015-06-23,2015-06-23,JxnsqTzxRqm,
32361765337,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvzBql,
32361760019,300118,3895573001,0.0,2015-06-23,2015-06-23,HMNJZfptyDq-SzmfBqld,bmap
32361760401,300118,3895573001,29000.0,2015-06-23,2015-06-23,HMSStqnzInfqrmxlStdBqld,otf
32361760695,300118,3895573001,0.0,2015-06-23,2015-06-23,HMStqInf,
32361771799,300118,3895573001,67221.0,2015-06-23,2015-06-23,Optfmx,dfont
32361751861,300118,3895573001,27996.0,2015-06-23,2015-06-23,FrktfgzrLTStd-Bqld,otf
32361765807,300118,3895573001,0.0,2015-06-23,2015-06-23,LABAvzBqlKzr,
32361862375,300116,3895591301,34608.0,2015-06-23,2015-06-23,0033_9-12_SNLAESE491127_010201,pdf
32361876779,300116,3895591301,71417.0,2015-06-23,2015-06-23,0036_9-12_SNLAESE491127_010202,pdf
32361916211,300116,3895591301,95788.0,2015-06-23,2015-06-23,0050_9-12_SNLAESE491127_010204,pdf
32361923279,300116,3895591301,81805.0,2015-06-23,2015-06-23,0056_9-12_SNLAESE491127_0102CA,pdf
32361873849,300116,3895591301,83422.0,2015-06-23,2015-06-23,0035_9-12_SNLAESE491127_010202,pdf
32361924575,300116,3895591301,46897.0,2015-06-23,2015-06-23,0057_9-12_SNLAESE491127_0102CA,pdf
32361861057,300116,3895591301,42455.0,2015-06-23,2015-06-23,0032_9-12_SNLAESE491127_010201,pdf
32361863679,300116,3895591301,35703.0,2015-06-23,2015-06-23,0034_9-12_SNLAESE491127_010201,pdf
32361856339,300116,3895591301,53365.0,2015-06-23,2015-06-23,0028_9-12_SNLAESE491127_0102IH,pdf
32361922403,300116,3895591301,94876.0,2015-06-23,2015-06-23,0055_9-12_SNLAESE491127_010204,pdf
32361921241,300116,3895591301,56404.0,2015-06-23,2015-06-23,0054_9-12_SNLAESE491127_010204,pdf
32361899375,300116,3895591301,91459.0,2015-06-23,2015-06-23,0046_9-12_SNLAESE491127_010203,pdf
32361896725,300116,3895591301,23645.0,2015-06-23,2015-06-23,0045_9-12_SNLAESE491127_010203,pdf
32361895379,300116,3895591301,38030.0,2015-06-23,2015-06-23,0044_9-12_SNLAESE491127_010203,pdf
